customer_id,recency_days,frequency,monetary,avg_basket
C001,11,4,151.45,181.87
C002,93,19,131.66,49.23
C003,78,17,56.49,19.66
C004,53,9,105.9,33.46
C005,52,2,97.68,163.08
C006,103,24,104.91,109.68
C007,11,11,165.67,48.06
C008,83,22,105.27,117.71
C009,24,17,144.78,46.22
C010,12,19,94.38,157.75
C011,63,19,110.21,106.46
C012,117,5,140.04,93.11
C013,88,9,32.46,76.81
C014,91,12,71.97,144.21
C015,86,12,64.76,89.17
C016,94,2,57.56,32.97
C017,62,14,74.25,39.19
C018,16,4,256.33,212.19
C019,100,18,49.1,201.26
C020,54,17,177.29,158.44
C021,60,23,27.72,69.5
C022,45,18,71.21,213.68
C023,22,9,100.88,174.64
C024,111,24,135.69,161.96
C025,94,10,148.1,107.12
C026,77,8,156.86,70.81
C027,48,22,70.52,34.76
C028,98,9,65.13,200.03
C029,65,2,164.12,108.43
C030,53,12,78.73,56.48
C031,54,20,36.86,77.72
C032,28,5,40.72,133.74
C033,11,12,47.29,51.24
C034,66,4,127.49,190.61
C035,106,17,99.45,170.5
C036,8,12,145.96,162.49
C037,103,8,66.75,103.58
C038,99,6,100.58,143.6
C039,33,14,139.48,134.74
C040,76,17,72.49,148.22
